alpha,-2,,alpha ,0,,alpha ,5,,alpha,10,,alpha,15,,alpha,17,
x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp
0.48514,0.06947,-0.2947,0.48514,0.06947,-0.38371,0.48514,0.06947,-0.5855,0.48514,0.06947,-0.65448,0.48514,0.06947,-0.37653,0.48514,0.06947,-2.12892
0.46916,0.07082,-0.30974,0.46916,0.07082,-0.40075,0.46916,0.07082,-0.61479,0.46916,0.07082,-0.69693,0.46916,0.07082,-0.42483,0.46916,0.07082,-2.15981
0.45324,0.07201,-0.32476,0.45324,0.07201,-0.41906,0.45324,0.07201,-0.64497,0.45324,0.07201,-0.74217,0.45324,0.07201,-0.47801,0.45324,0.07201,-2.19807
0.43745,0.07306,-0.34031,0.43745,0.07306,-0.43853,0.43745,0.07306,-0.67822,0.43745,0.07306,-0.78855,0.43745,0.07306,-0.53549,0.43745,0.07306,-2.23043
0.42185,0.07391,-0.3549,0.42185,0.07391,-0.45774,0.42185,0.07391,-0.71131,0.42185,0.07391,-0.83504,0.42185,0.07391,-0.59553,0.42185,0.07391,-2.26296
0.40643,0.07454,-0.36485,0.40643,0.07454,-0.47277,0.40643,0.07454,-0.73805,0.40643,0.07454,-0.87888,0.40643,0.07454,-0.65546,0.40643,0.07454,-2.29711
0.39109,0.07492,-0.36604,0.39109,0.07492,-0.47908,0.39109,0.07492,-0.7526,0.39109,0.07492,-0.91155,0.39109,0.07492,-0.71162,0.39109,0.07492,-2.33328
0.37565,0.07504,-0.35871,0.37565,0.07504,-0.47647,0.37565,0.07504,-0.75803,0.37565,0.07504,-0.93478,0.37565,0.07504,-0.76313,0.37565,0.07504,-2.37315
0.36002,0.07496,-0.34813,0.36002,0.07496,-0.47063,0.36002,0.07496,-0.77202,0.36002,0.07496,-0.95417,0.36002,0.07496,-0.81162,0.36002,0.07496,-2.41661
0.34422,0.07471,-0.33849,0.34422,0.07471,-0.46559,0.34422,0.07471,-0.79938,0.34422,0.07471,-0.97632,0.34422,0.07471,-0.86071,0.34422,0.07471,-2.46434
0.32837,0.07431,-0.3314,0.32837,0.07431,-0.46321,0.32837,0.07431,-0.8214,0.32837,0.07431,-1.00192,0.32837,0.07431,-0.91132,0.32837,0.07431,-2.51561
0.31254,0.07375,-0.3241,0.31254,0.07375,-0.46091,0.31254,0.07375,-0.82446,0.31254,0.07375,-1.03073,0.31254,0.07375,-0.9626,0.31254,0.07375,-2.57071
0.29674,0.07303,-0.31514,0.29674,0.07303,-0.45685,0.29674,0.07303,-0.83044,0.29674,0.07303,-1.05758,0.29674,0.07303,-1.01443,0.29674,0.07303,-2.63007
0.28097,0.07212,-0.30378,0.28097,0.07212,-0.45104,0.28097,0.07212,-0.83741,0.28097,0.07212,-1.0855,0.28097,0.07212,-1.06568,0.28097,0.07212,-2.69432
0.26519,0.07105,-0.29088,0.26519,0.07105,-0.44354,0.26519,0.07105,-0.8446,0.26519,0.07105,-1.11227,0.26519,0.07105,-1.1173,0.26519,0.07105,-2.76737
